# ---
# 25/02/2026, 11:25:18
# volt	current
# ---
-1.20e+02	-4.871438e-07
-1.19e+02	-4.237814e-07
-1.18e+02	-4.242324e-07
-1.17e+02	-4.243126e-07
-1.16e+02	-4.250170e-07
-1.15e+02	-4.253029e-07
-1.14e+02	-4.254530e-07
-1.13e+02	-4.254165e-07
-1.12e+02	-4.256974e-07
-1.11e+02	-4.257698e-07
-1.10e+02	-4.257349e-07
-1.09e+02	-4.255686e-07
-1.08e+02	-4.257761e-07
-1.07e+02	-4.258023e-07
-1.06e+02	-4.255368e-07
-1.05e+02	-4.254110e-07
-1.04e+02	-4.254032e-07
-1.03e+02	-4.254160e-07
-1.02e+02	-4.253064e-07
-1.01e+02	-4.251749e-07
-1.00e+02	-4.250170e-07
-9.90e+01	-4.248963e-07
-9.80e+01	-4.246745e-07
-9.70e+01	-4.245809e-07
-9.60e+01	-4.241822e-07
-9.50e+01	-4.240725e-07
-9.40e+01	-4.239734e-07
-9.30e+01	-4.236528e-07
-9.20e+01	-4.237877e-07
-9.10e+01	-4.235443e-07
-9.00e+01	-4.232730e-07
-8.90e+01	-4.233556e-07
-8.80e+01	-4.228408e-07
-8.70e+01	-4.226559e-07
-8.60e+01	-4.223573e-07
-8.50e+01	-4.224020e-07
-8.40e+01	-4.223816e-07
-8.30e+01	-4.220632e-07
-8.20e+01	-4.217405e-07
-8.10e+01	-4.215888e-07
-8.00e+01	-4.212709e-07
-7.90e+01	-4.207964e-07
-7.80e+01	-4.210140e-07
-7.70e+01	-4.205445e-07
-7.60e+01	-4.200536e-07
-7.50e+01	-4.202308e-07
-7.40e+01	-4.196315e-07
-7.30e+01	-4.191389e-07
-7.20e+01	-4.192530e-07
-7.10e+01	-4.189112e-07
-7.00e+01	-4.185697e-07
-6.90e+01	-4.180719e-07
-6.80e+01	-4.178172e-07
-6.70e+01	-4.175326e-07
-6.60e+01	-4.167381e-07
-6.50e+01	-4.162874e-07
-6.40e+01	-4.160009e-07
-6.30e+01	-4.152040e-07
-6.20e+01	-4.143462e-07
-6.10e+01	-4.140437e-07
-6.00e+01	-4.130718e-07
-5.90e+01	-4.121027e-07
-5.80e+01	-4.107761e-07
-5.70e+01	-4.098246e-07
-5.60e+01	-4.085857e-07
-5.50e+01	-4.068259e-07
-5.40e+01	-4.058278e-07
-5.30e+01	-4.047271e-07
-5.20e+01	-4.033127e-07
-5.10e+01	-4.022945e-07
-5.00e+01	-4.016242e-07
-4.90e+01	-4.001477e-07
-4.80e+01	-3.994549e-07
-4.70e+01	-3.987410e-07
-4.60e+01	-3.975178e-07
-4.50e+01	-3.969217e-07
-4.40e+01	-3.960972e-07
-4.30e+01	-3.955677e-07
-4.20e+01	-3.949260e-07
-4.10e+01	-3.941841e-07
-4.00e+01	-3.936565e-07
-3.90e+01	-3.931795e-07
-3.80e+01	-3.922912e-07
-3.70e+01	-3.918239e-07
-3.60e+01	-3.911639e-07
-3.50e+01	-3.905294e-07
-3.40e+01	-3.901879e-07
-3.30e+01	-3.893861e-07
-3.20e+01	-3.890401e-07
-3.10e+01	-3.883409e-07
-3.00e+01	-3.877169e-07
-2.90e+01	-3.871208e-07
-2.80e+01	-3.866048e-07
-2.70e+01	-3.860436e-07
-2.60e+01	-3.853804e-07
-2.50e+01	-3.846613e-07
-2.40e+01	-3.842894e-07
-2.30e+01	-3.834262e-07
-2.20e+01	-3.830985e-07
-2.10e+01	-3.822264e-07
-2.00e+01	-3.815221e-07
-1.90e+01	-3.807731e-07
-1.80e+01	-3.801373e-07
-1.70e+01	-3.793123e-07
-1.60e+01	-3.787968e-07
-1.50e+01	-3.783304e-07
-1.40e+01	-3.773060e-07
-1.30e+01	-3.766825e-07
-1.20e+01	-3.761684e-07
-1.10e+01	-3.751072e-07
-1.00e+01	-3.741663e-07
-9.00e+00	-3.732839e-07
-8.00e+00	-3.720133e-07
-7.00e+00	-3.707393e-07
-6.00e+00	-3.695108e-07
-5.00e+00	-3.678088e-07
-4.00e+00	-3.656397e-07
-3.00e+00	-3.631845e-07
-2.00e+00	-3.601748e-07
-9.96e-01	-3.566992e-07
3.71e-03	-3.520669e-07
1.00e+00	-3.422454e-07
2.00e+00	-3.218650e-07
3.00e+00	-2.733934e-07
4.00e+00	-1.493249e-07
5.00e+00	-8.762649e-08
6.00e+00	-7.186402e-08
7.00e+00	-5.990819e-08
8.00e+00	-4.863624e-08
9.00e+00	-3.709964e-08
1.00e+01	-2.535535e-08
1.10e+01	-1.402277e-08
1.20e+01	-4.003672e-09
1.30e+01	3.931498e-09
1.40e+01	9.590901e-09
1.50e+01	1.361358e-08
1.60e+01	1.658149e-08
1.70e+01	1.865536e-08
1.80e+01	1.983543e-08
1.90e+01	2.038421e-08
2.00e+01	2.063277e-08
2.10e+01	2.089311e-08
2.20e+01	2.116535e-08
2.30e+01	2.143304e-08
2.40e+01	2.169058e-08
2.50e+01	2.195840e-08
2.60e+01	2.221356e-08
2.70e+01	2.248478e-08
2.80e+01	2.276600e-08
2.90e+01	2.303102e-08
3.00e+01	2.329592e-08
3.10e+01	2.354410e-08
3.20e+01	2.380559e-08
3.30e+01	2.406567e-08
3.40e+01	2.431006e-08
3.50e+01	2.455749e-08
3.60e+01	2.480568e-08
3.70e+01	2.501604e-08
3.80e+01	2.523069e-08
3.90e+01	2.546190e-08
4.00e+01	2.569378e-08
