# ---
# 25/02/2026, 11:56:00
# volt	current
# ---
-1.20e+02	-2.450044e-07
-1.19e+02	-1.857345e-07
-1.18e+02	-1.856866e-07
-1.17e+02	-1.854784e-07
-1.16e+02	-1.853904e-07
-1.15e+02	-1.854601e-07
-1.14e+02	-1.854123e-07
-1.13e+02	-1.852205e-07
-1.12e+02	-1.851287e-07
-1.11e+02	-1.851713e-07
-1.10e+02	-1.850605e-07
-1.09e+02	-1.849053e-07
-1.08e+02	-1.848613e-07
-1.07e+02	-1.848442e-07
-1.06e+02	-1.847207e-07
-1.05e+02	-1.845828e-07
-1.04e+02	-1.846502e-07
-1.03e+02	-1.844951e-07
-1.02e+02	-1.843169e-07
-1.01e+02	-1.843291e-07
-1.00e+02	-1.841898e-07
-9.90e+01	-1.839697e-07
-9.80e+01	-1.839202e-07
-9.70e+01	-1.839046e-07
-9.60e+01	-1.837945e-07
-9.50e+01	-1.836396e-07
-9.40e+01	-1.835595e-07
-9.30e+01	-1.834958e-07
-9.20e+01	-1.833596e-07
-9.10e+01	-1.832560e-07
-9.00e+01	-1.832851e-07
-8.90e+01	-1.831523e-07
-8.80e+01	-1.830042e-07
-8.70e+01	-1.830302e-07
-8.60e+01	-1.828845e-07
-8.50e+01	-1.827369e-07
-8.40e+01	-1.827235e-07
-8.30e+01	-1.827309e-07
-8.20e+01	-1.825628e-07
-8.10e+01	-1.823966e-07
-8.00e+01	-1.824628e-07
-7.90e+01	-1.823117e-07
-7.80e+01	-1.821912e-07
-7.70e+01	-1.822125e-07
-7.60e+01	-1.820650e-07
-7.50e+01	-1.819639e-07
-7.40e+01	-1.818611e-07
-7.30e+01	-1.818402e-07
-7.20e+01	-1.817000e-07
-7.10e+01	-1.815695e-07
-7.00e+01	-1.815068e-07
-6.90e+01	-1.814688e-07
-6.80e+01	-1.812506e-07
-6.70e+01	-1.810542e-07
-6.60e+01	-1.810396e-07
-6.50e+01	-1.809753e-07
-6.40e+01	-1.807902e-07
-6.30e+01	-1.806445e-07
-6.20e+01	-1.806675e-07
-6.10e+01	-1.804282e-07
-6.00e+01	-1.802420e-07
-5.90e+01	-1.802184e-07
-5.80e+01	-1.800769e-07
-5.70e+01	-1.798853e-07
-5.60e+01	-1.798405e-07
-5.50e+01	-1.795896e-07
-5.40e+01	-1.794483e-07
-5.30e+01	-1.793755e-07
-5.20e+01	-1.791947e-07
-5.10e+01	-1.789807e-07
-5.00e+01	-1.789003e-07
-4.90e+01	-1.787660e-07
-4.80e+01	-1.786024e-07
-4.70e+01	-1.783984e-07
-4.60e+01	-1.782278e-07
-4.50e+01	-1.780550e-07
-4.40e+01	-1.778701e-07
-4.30e+01	-1.776820e-07
-4.20e+01	-1.774855e-07
-4.10e+01	-1.772726e-07
-4.00e+01	-1.770422e-07
-3.90e+01	-1.768401e-07
-3.80e+01	-1.766811e-07
-3.70e+01	-1.764330e-07
-3.60e+01	-1.762152e-07
-3.50e+01	-1.760188e-07
-3.40e+01	-1.757612e-07
-3.30e+01	-1.755271e-07
-3.20e+01	-1.753157e-07
-3.10e+01	-1.750867e-07
-3.00e+01	-1.746825e-07
-2.90e+01	-1.744576e-07
-2.80e+01	-1.743343e-07
-2.70e+01	-1.739321e-07
-2.60e+01	-1.734438e-07
-2.50e+01	-1.733321e-07
-2.40e+01	-1.730367e-07
-2.30e+01	-1.724669e-07
-2.20e+01	-1.721802e-07
-2.10e+01	-1.719897e-07
-2.00e+01	-1.714871e-07
-1.90e+01	-1.711097e-07
-1.80e+01	-1.709006e-07
-1.70e+01	-1.705499e-07
-1.60e+01	-1.700615e-07
-1.50e+01	-1.697101e-07
-1.40e+01	-1.694390e-07
-1.30e+01	-1.689753e-07
-1.20e+01	-1.685241e-07
-1.10e+01	-1.681320e-07
-1.00e+01	-1.677689e-07
-9.00e+00	-1.672715e-07
-8.00e+00	-1.667041e-07
-7.00e+00	-1.662279e-07
-6.00e+00	-1.654708e-07
-5.00e+00	-1.647079e-07
-4.00e+00	-1.640155e-07
-3.00e+00	-1.630663e-07
-2.00e+00	-1.617435e-07
-9.96e-01	-1.598018e-07
3.43e-03	-1.567535e-07
1.00e+00	-1.522405e-07
2.00e+00	-1.430108e-07
3.00e+00	-1.261994e-07
4.00e+00	-1.022904e-07
5.00e+00	-7.511908e-08
6.00e+00	-4.830367e-08
7.00e+00	-2.218183e-08
8.00e+00	-2.722973e-10
9.00e+00	1.347077e-09
1.00e+01	1.502370e-09
1.10e+01	1.630451e-09
1.20e+01	1.751319e-09
1.30e+01	1.871427e-09
1.40e+01	2.003813e-09
1.50e+01	2.136703e-09
1.60e+01	2.282123e-09
1.70e+01	2.405523e-09
1.80e+01	2.548537e-09
1.90e+01	2.678139e-09
2.00e+01	2.815587e-09
2.10e+01	2.965943e-09
2.20e+01	3.109719e-09
2.30e+01	3.265645e-09
2.40e+01	3.417520e-09
2.50e+01	3.568256e-09
2.60e+01	3.729494e-09
2.70e+01	3.874790e-09
2.80e+01	4.031855e-09
2.90e+01	4.187654e-09
3.00e+01	4.340796e-09
3.10e+01	4.505832e-09
3.20e+01	4.647964e-09
3.30e+01	4.791359e-09
3.40e+01	4.939564e-09
3.50e+01	5.090932e-09
3.60e+01	5.228128e-09
3.70e+01	5.368740e-09
3.80e+01	5.499350e-09
3.90e+01	5.628066e-09
4.00e+01	5.746780e-09
