# ---
# 25/02/2026, 12:03:07
# volt	current
# ---
-1.20e+02	-2.428098e-07
-1.19e+02	-1.827537e-07
-1.18e+02	-1.827135e-07
-1.17e+02	-1.828662e-07
-1.16e+02	-1.827611e-07
-1.15e+02	-1.826624e-07
-1.14e+02	-1.827552e-07
-1.13e+02	-1.827331e-07
-1.12e+02	-1.825987e-07
-1.11e+02	-1.825542e-07
-1.10e+02	-1.827273e-07
-1.09e+02	-1.825520e-07
-1.08e+02	-1.824290e-07
-1.07e+02	-1.824760e-07
-1.06e+02	-1.824338e-07
-1.05e+02	-1.822979e-07
-1.04e+02	-1.822663e-07
-1.03e+02	-1.823185e-07
-1.02e+02	-1.822006e-07
-1.01e+02	-1.819974e-07
-1.00e+02	-1.820777e-07
-9.90e+01	-1.820604e-07
-9.80e+01	-1.818692e-07
-9.70e+01	-1.818472e-07
-9.60e+01	-1.818179e-07
-9.50e+01	-1.817803e-07
-9.40e+01	-1.817749e-07
-9.30e+01	-1.817238e-07
-9.20e+01	-1.816765e-07
-9.10e+01	-1.815809e-07
-9.00e+01	-1.814420e-07
-8.90e+01	-1.813304e-07
-8.80e+01	-1.813087e-07
-8.70e+01	-1.812728e-07
-8.60e+01	-1.811809e-07
-8.50e+01	-1.811367e-07
-8.40e+01	-1.811139e-07
-8.30e+01	-1.810372e-07
-8.20e+01	-1.809056e-07
-8.10e+01	-1.809114e-07
-8.00e+01	-1.808427e-07
-7.90e+01	-1.807394e-07
-7.80e+01	-1.807042e-07
-7.70e+01	-1.806279e-07
-7.60e+01	-1.804853e-07
-7.50e+01	-1.803840e-07
-7.40e+01	-1.804131e-07
-7.30e+01	-1.803144e-07
-7.20e+01	-1.801741e-07
-7.10e+01	-1.801495e-07
-7.00e+01	-1.800400e-07
-6.90e+01	-1.799717e-07
-6.80e+01	-1.798592e-07
-6.70e+01	-1.798008e-07
-6.60e+01	-1.796713e-07
-6.50e+01	-1.795504e-07
-6.40e+01	-1.794746e-07
-6.30e+01	-1.793463e-07
-6.20e+01	-1.791954e-07
-6.10e+01	-1.791263e-07
-6.00e+01	-1.790344e-07
-5.90e+01	-1.788362e-07
-5.80e+01	-1.787826e-07
-5.70e+01	-1.786873e-07
-5.60e+01	-1.784839e-07
-5.50e+01	-1.783921e-07
-5.40e+01	-1.782508e-07
-5.30e+01	-1.781361e-07
-5.20e+01	-1.779388e-07
-5.10e+01	-1.778104e-07
-5.00e+01	-1.776743e-07
-4.90e+01	-1.775234e-07
-4.80e+01	-1.773701e-07
-4.70e+01	-1.771688e-07
-4.60e+01	-1.770394e-07
-4.50e+01	-1.769293e-07
-4.40e+01	-1.766724e-07
-4.30e+01	-1.764598e-07
-4.20e+01	-1.762630e-07
-4.10e+01	-1.761611e-07
-4.00e+01	-1.758787e-07
-3.90e+01	-1.757173e-07
-3.80e+01	-1.754312e-07
-3.70e+01	-1.752781e-07
-3.60e+01	-1.750725e-07
-3.50e+01	-1.748459e-07
-3.40e+01	-1.745947e-07
-3.30e+01	-1.743865e-07
-3.20e+01	-1.741675e-07
-3.10e+01	-1.738772e-07
-3.00e+01	-1.736082e-07
-2.90e+01	-1.733095e-07
-2.80e+01	-1.730422e-07
-2.70e+01	-1.726861e-07
-2.60e+01	-1.723770e-07
-2.50e+01	-1.720709e-07
-2.40e+01	-1.717291e-07
-2.30e+01	-1.713699e-07
-2.20e+01	-1.710720e-07
-2.10e+01	-1.707145e-07
-2.00e+01	-1.703130e-07
-1.90e+01	-1.699166e-07
-1.80e+01	-1.696914e-07
-1.70e+01	-1.693311e-07
-1.60e+01	-1.688074e-07
-1.50e+01	-1.685307e-07
-1.40e+01	-1.682817e-07
-1.30e+01	-1.677891e-07
-1.20e+01	-1.674286e-07
-1.10e+01	-1.670798e-07
-1.00e+01	-1.664952e-07
-9.00e+00	-1.660514e-07
-8.00e+00	-1.655819e-07
-7.00e+00	-1.650771e-07
-6.00e+00	-1.644040e-07
-5.00e+00	-1.636962e-07
-4.00e+00	-1.629734e-07
-3.00e+00	-1.620207e-07
-2.00e+00	-1.607615e-07
-9.96e-01	-1.589834e-07
3.45e-03	-1.562050e-07
1.00e+00	-1.518061e-07
2.00e+00	-1.430877e-07
3.00e+00	-1.269077e-07
4.00e+00	-1.035348e-07
5.00e+00	-7.677875e-08
6.00e+00	-5.033687e-08
7.00e+00	-2.464968e-08
8.00e+00	-1.561858e-09
9.00e+00	1.388334e-09
1.00e+01	1.527680e-09
1.10e+01	1.666647e-09
1.20e+01	1.793588e-09
1.30e+01	1.922050e-09
1.40e+01	2.061395e-09
1.50e+01	2.189983e-09
1.60e+01	2.331860e-09
1.70e+01	2.472344e-09
1.80e+01	2.606628e-09
1.90e+01	2.753821e-09
2.00e+01	2.888481e-09
2.10e+01	3.042890e-09
2.20e+01	3.190334e-09
2.30e+01	3.348663e-09
2.40e+01	3.500285e-09
2.50e+01	3.661528e-09
2.60e+01	3.807201e-09
2.70e+01	3.962874e-09
2.80e+01	4.121961e-09
2.90e+01	4.283835e-09
3.00e+01	4.452670e-09
3.10e+01	4.594422e-09
3.20e+01	4.747689e-09
3.30e+01	4.893996e-09
3.40e+01	5.044223e-09
3.50e+01	5.207112e-09
3.60e+01	5.336964e-09
3.70e+01	5.475676e-09
3.80e+01	5.608569e-09
3.90e+01	5.736521e-09
4.00e+01	5.872451e-09
