# ---
# 24/02/2026, 11:29:13
# volt	current
# ---
-1.20e+02	-4.176937e-07
-1.19e+02	-3.546992e-07
-1.18e+02	-3.548162e-07
-1.17e+02	-3.549733e-07
-1.16e+02	-3.550485e-07
-1.15e+02	-3.549313e-07
-1.14e+02	-3.550261e-07
-1.13e+02	-3.548715e-07
-1.12e+02	-3.546945e-07
-1.11e+02	-3.547635e-07
-1.10e+02	-3.546925e-07
-1.09e+02	-3.544374e-07
-1.08e+02	-3.543249e-07
-1.07e+02	-3.541677e-07
-1.06e+02	-3.539585e-07
-1.05e+02	-3.540936e-07
-1.04e+02	-3.537181e-07
-1.03e+02	-3.535423e-07
-1.02e+02	-3.534906e-07
-1.01e+02	-3.532592e-07
-1.00e+02	-3.531210e-07
-9.90e+01	-3.529574e-07
-9.80e+01	-3.526268e-07
-9.70e+01	-3.523879e-07
-9.60e+01	-3.524277e-07
-9.50e+01	-3.522537e-07
-9.40e+01	-3.520610e-07
-9.30e+01	-3.518482e-07
-9.20e+01	-3.517482e-07
-9.10e+01	-3.515400e-07
-9.00e+01	-3.511433e-07
-8.90e+01	-3.510264e-07
-8.80e+01	-3.509751e-07
-8.70e+01	-3.508826e-07
-8.60e+01	-3.504422e-07
-8.50e+01	-3.504622e-07
-8.40e+01	-3.504136e-07
-8.30e+01	-3.498180e-07
-8.20e+01	-3.496384e-07
-8.10e+01	-3.498864e-07
-8.00e+01	-3.494894e-07
-7.90e+01	-3.490753e-07
-7.80e+01	-3.488764e-07
-7.70e+01	-3.488287e-07
-7.60e+01	-3.484542e-07
-7.50e+01	-3.481628e-07
-7.40e+01	-3.482859e-07
-7.30e+01	-3.481734e-07
-7.20e+01	-3.476909e-07
-7.10e+01	-3.472705e-07
-7.00e+01	-3.473062e-07
-6.90e+01	-3.467987e-07
-6.80e+01	-3.463892e-07
-6.70e+01	-3.463612e-07
-6.60e+01	-3.460856e-07
-6.50e+01	-3.456668e-07
-6.40e+01	-3.452752e-07
-6.30e+01	-3.450001e-07
-6.20e+01	-3.446946e-07
-6.10e+01	-3.441339e-07
-6.00e+01	-3.435637e-07
-5.90e+01	-3.429388e-07
-5.80e+01	-3.425876e-07
-5.70e+01	-3.418260e-07
-5.60e+01	-3.411526e-07
-5.50e+01	-3.404929e-07
-5.40e+01	-3.396761e-07
-5.30e+01	-3.386616e-07
-5.20e+01	-3.381863e-07
-5.10e+01	-3.374093e-07
-5.00e+01	-3.364923e-07
-4.90e+01	-3.356209e-07
-4.80e+01	-3.351508e-07
-4.70e+01	-3.346061e-07
-4.60e+01	-3.336595e-07
-4.50e+01	-3.333724e-07
-4.40e+01	-3.329433e-07
-4.30e+01	-3.321916e-07
-4.20e+01	-3.314419e-07
-4.10e+01	-3.312189e-07
-4.00e+01	-3.307382e-07
-3.90e+01	-3.300230e-07
-3.80e+01	-3.296357e-07
-3.70e+01	-3.292179e-07
-3.60e+01	-3.287304e-07
-3.50e+01	-3.279502e-07
-3.40e+01	-3.275289e-07
-3.30e+01	-3.271393e-07
-3.20e+01	-3.265951e-07
-3.10e+01	-3.260523e-07
-3.00e+01	-3.257321e-07
-2.90e+01	-3.249471e-07
-2.80e+01	-3.246921e-07
-2.70e+01	-3.243324e-07
-2.60e+01	-3.236526e-07
-2.50e+01	-3.229961e-07
-2.40e+01	-3.224476e-07
-2.30e+01	-3.220008e-07
-2.20e+01	-3.213382e-07
-2.10e+01	-3.206696e-07
-2.00e+01	-3.200506e-07
-1.90e+01	-3.196616e-07
-1.80e+01	-3.189005e-07
-1.70e+01	-3.182254e-07
-1.60e+01	-3.178070e-07
-1.50e+01	-3.171143e-07
-1.40e+01	-3.164775e-07
-1.30e+01	-3.159593e-07
-1.20e+01	-3.154539e-07
-1.10e+01	-3.147108e-07
-1.00e+01	-3.139237e-07
-9.00e+00	-3.131531e-07
-8.00e+00	-3.125721e-07
-7.00e+00	-3.117246e-07
-6.00e+00	-3.106015e-07
-5.00e+00	-3.093365e-07
-4.00e+00	-3.076714e-07
-3.00e+00	-3.055645e-07
-2.00e+00	-3.024122e-07
-9.95e-01	-2.985544e-07
4.06e-03	-2.932428e-07
1.00e+00	-2.801402e-07
2.00e+00	-2.569376e-07
3.00e+00	-2.109197e-07
4.00e+00	-1.061779e-07
5.00e+00	-4.634526e-08
6.00e+00	-3.641517e-08
7.00e+00	-2.917149e-08
8.00e+00	-2.221140e-08
9.00e+00	-1.511057e-08
1.00e+01	-8.137326e-09
1.10e+01	-1.801588e-09
1.20e+01	3.288710e-09
1.30e+01	6.901359e-09
1.40e+01	9.337085e-09
1.50e+01	1.099292e-08
1.60e+01	1.214908e-08
1.70e+01	1.283152e-08
1.80e+01	1.318121e-08
1.90e+01	1.339422e-08
2.00e+01	1.358760e-08
2.10e+01	1.378366e-08
2.20e+01	1.400514e-08
2.30e+01	1.420664e-08
2.40e+01	1.444268e-08
2.50e+01	1.465695e-08
2.60e+01	1.485768e-08
2.70e+01	1.508613e-08
2.80e+01	1.530608e-08
2.90e+01	1.551733e-08
3.00e+01	1.576463e-08
3.10e+01	1.597410e-08
3.20e+01	1.619482e-08
3.30e+01	1.639480e-08
3.40e+01	1.661970e-08
3.50e+01	1.681954e-08
3.60e+01	1.700597e-08
3.70e+01	1.719266e-08
3.80e+01	1.740275e-08
3.90e+01	1.757500e-08
4.00e+01	1.773777e-08
