# ---
# 24/02/2026, 11:33:55
# volt	current
# ---
-1.20e+02	-4.097000e-07
-1.19e+02	-3.474864e-07
-1.18e+02	-3.477572e-07
-1.17e+02	-3.482100e-07
-1.16e+02	-3.485099e-07
-1.15e+02	-3.486496e-07
-1.14e+02	-3.488145e-07
-1.13e+02	-3.491175e-07
-1.12e+02	-3.490632e-07
-1.11e+02	-3.488154e-07
-1.10e+02	-3.492192e-07
-1.09e+02	-3.493329e-07
-1.08e+02	-3.489440e-07
-1.07e+02	-3.488818e-07
-1.06e+02	-3.492069e-07
-1.05e+02	-3.491175e-07
-1.04e+02	-3.489102e-07
-1.03e+02	-3.489278e-07
-1.02e+02	-3.491271e-07
-1.01e+02	-3.486849e-07
-1.00e+02	-3.485897e-07
-9.90e+01	-3.485962e-07
-9.80e+01	-3.485884e-07
-9.70e+01	-3.482312e-07
-9.60e+01	-3.480720e-07
-9.50e+01	-3.481756e-07
-9.40e+01	-3.481315e-07
-9.30e+01	-3.479302e-07
-9.20e+01	-3.480108e-07
-9.10e+01	-3.477828e-07
-9.00e+01	-3.476312e-07
-8.90e+01	-3.477639e-07
-8.80e+01	-3.475053e-07
-8.70e+01	-3.472634e-07
-8.60e+01	-3.472001e-07
-8.50e+01	-3.470929e-07
-8.40e+01	-3.469634e-07
-8.30e+01	-3.470176e-07
-8.20e+01	-3.467269e-07
-8.10e+01	-3.463795e-07
-8.00e+01	-3.462717e-07
-7.90e+01	-3.460823e-07
-7.80e+01	-3.461008e-07
-7.70e+01	-3.456886e-07
-7.60e+01	-3.454035e-07
-7.50e+01	-3.454018e-07
-7.40e+01	-3.453198e-07
-7.30e+01	-3.448209e-07
-7.20e+01	-3.447951e-07
-7.10e+01	-3.447250e-07
-7.00e+01	-3.444179e-07
-6.90e+01	-3.441160e-07
-6.80e+01	-3.437627e-07
-6.70e+01	-3.435758e-07
-6.60e+01	-3.432624e-07
-6.50e+01	-3.429597e-07
-6.40e+01	-3.426400e-07
-6.30e+01	-3.424856e-07
-6.20e+01	-3.419061e-07
-6.10e+01	-3.416097e-07
-6.00e+01	-3.411750e-07
-5.90e+01	-3.405889e-07
-5.80e+01	-3.398452e-07
-5.70e+01	-3.393309e-07
-5.60e+01	-3.387447e-07
-5.50e+01	-3.378236e-07
-5.40e+01	-3.371651e-07
-5.30e+01	-3.366455e-07
-5.20e+01	-3.357244e-07
-5.10e+01	-3.351249e-07
-5.00e+01	-3.343400e-07
-4.90e+01	-3.335530e-07
-4.80e+01	-3.328122e-07
-4.70e+01	-3.322154e-07
-4.60e+01	-3.316138e-07
-4.50e+01	-3.312776e-07
-4.40e+01	-3.305044e-07
-4.30e+01	-3.297684e-07
-4.20e+01	-3.294653e-07
-4.10e+01	-3.290951e-07
-4.00e+01	-3.282751e-07
-3.90e+01	-3.279014e-07
-3.80e+01	-3.276255e-07
-3.70e+01	-3.268827e-07
-3.60e+01	-3.265654e-07
-3.50e+01	-3.261303e-07
-3.40e+01	-3.253872e-07
-3.30e+01	-3.247979e-07
-3.20e+01	-3.246504e-07
-3.10e+01	-3.240246e-07
-3.00e+01	-3.236750e-07
-2.90e+01	-3.231981e-07
-2.80e+01	-3.225432e-07
-2.70e+01	-3.220807e-07
-2.60e+01	-3.217391e-07
-2.50e+01	-3.210233e-07
-2.40e+01	-3.202487e-07
-2.30e+01	-3.196638e-07
-2.20e+01	-3.191423e-07
-2.10e+01	-3.185531e-07
-2.00e+01	-3.179626e-07
-1.90e+01	-3.172739e-07
-1.80e+01	-3.168567e-07
-1.70e+01	-3.164861e-07
-1.60e+01	-3.154281e-07
-1.50e+01	-3.150036e-07
-1.40e+01	-3.146916e-07
-1.30e+01	-3.138407e-07
-1.20e+01	-3.133135e-07
-1.10e+01	-3.127961e-07
-1.00e+01	-3.121203e-07
-9.00e+00	-3.113105e-07
-8.00e+00	-3.106023e-07
-7.00e+00	-3.097231e-07
-6.00e+00	-3.085059e-07
-5.00e+00	-3.073209e-07
-4.00e+00	-3.060625e-07
-3.00e+00	-3.037512e-07
-2.00e+00	-3.006713e-07
-9.95e-01	-2.970822e-07
4.08e-03	-2.919735e-07
1.00e+00	-2.792910e-07
2.00e+00	-2.564522e-07
3.00e+00	-2.108873e-07
4.00e+00	-1.062982e-07
5.00e+00	-4.649329e-08
6.00e+00	-3.655133e-08
7.00e+00	-2.930902e-08
8.00e+00	-2.231755e-08
9.00e+00	-1.517801e-08
1.00e+01	-8.153134e-09
1.10e+01	-1.776906e-09
1.20e+01	3.342496e-09
1.30e+01	7.021456e-09
1.40e+01	9.447183e-09
1.50e+01	1.114465e-08
1.60e+01	1.228677e-08
1.70e+01	1.297376e-08
1.80e+01	1.334738e-08
1.90e+01	1.354494e-08
2.00e+01	1.375921e-08
2.10e+01	1.395121e-08
2.20e+01	1.419230e-08
2.30e+01	1.439925e-08
2.40e+01	1.461402e-08
2.50e+01	1.484045e-08
2.60e+01	1.506484e-08
2.70e+01	1.526634e-08
2.80e+01	1.549757e-08
2.90e+01	1.572551e-08
3.00e+01	1.592548e-08
3.10e+01	1.616216e-08
3.20e+01	1.635858e-08
3.30e+01	1.658475e-08
3.40e+01	1.678903e-08
3.50e+01	1.697773e-08
3.60e+01	1.719010e-08
3.70e+01	1.737514e-08
3.80e+01	1.758739e-08
3.90e+01	1.776342e-08
4.00e+01	1.790797e-08
