# ---
# 24/02/2026, 14:35:17
# volt	current
# ---
-1.20e+02	-1.630873e-06
-1.19e+02	-1.553781e-06
-1.18e+02	-1.562023e-06
-1.17e+02	-1.567241e-06
-1.16e+02	-1.570045e-06
-1.15e+02	-1.570397e-06
-1.14e+02	-1.571024e-06
-1.13e+02	-1.571985e-06
-1.12e+02	-1.573217e-06
-1.11e+02	-1.573585e-06
-1.10e+02	-1.574306e-06
-1.09e+02	-1.574571e-06
-1.08e+02	-1.573846e-06
-1.07e+02	-1.573444e-06
-1.06e+02	-1.573058e-06
-1.05e+02	-1.572911e-06
-1.04e+02	-1.572734e-06
-1.03e+02	-1.572197e-06
-1.02e+02	-1.571426e-06
-1.01e+02	-1.570468e-06
-1.00e+02	-1.570544e-06
-9.90e+01	-1.570130e-06
-9.80e+01	-1.569374e-06
-9.70e+01	-1.567759e-06
-9.60e+01	-1.567506e-06
-9.50e+01	-1.566875e-06
-9.40e+01	-1.566062e-06
-9.30e+01	-1.565194e-06
-9.20e+01	-1.564959e-06
-9.10e+01	-1.563823e-06
-9.00e+01	-1.563231e-06
-8.90e+01	-1.562063e-06
-8.80e+01	-1.560545e-06
-8.70e+01	-1.560405e-06
-8.60e+01	-1.558613e-06
-8.50e+01	-1.557918e-06
-8.40e+01	-1.557170e-06
-8.30e+01	-1.556365e-06
-8.20e+01	-1.554325e-06
-8.10e+01	-1.554438e-06
-8.00e+01	-1.553350e-06
-7.90e+01	-1.551415e-06
-7.80e+01	-1.550570e-06
-7.70e+01	-1.550095e-06
-7.60e+01	-1.548362e-06
-7.50e+01	-1.546784e-06
-7.40e+01	-1.546304e-06
-7.30e+01	-1.546090e-06
-7.20e+01	-1.545158e-06
-7.10e+01	-1.543043e-06
-7.00e+01	-1.541745e-06
-6.90e+01	-1.540370e-06
-6.80e+01	-1.539167e-06
-6.70e+01	-1.538466e-06
-6.60e+01	-1.537526e-06
-6.50e+01	-1.534888e-06
-6.40e+01	-1.533732e-06
-6.30e+01	-1.534572e-06
-6.20e+01	-1.533488e-06
-6.10e+01	-1.531452e-06
-6.00e+01	-1.529633e-06
-5.90e+01	-1.528230e-06
-5.80e+01	-1.527787e-06
-5.70e+01	-1.527084e-06
-5.60e+01	-1.526206e-06
-5.50e+01	-1.524950e-06
-5.40e+01	-1.522349e-06
-5.30e+01	-1.520703e-06
-5.20e+01	-1.520365e-06
-5.10e+01	-1.519206e-06
-5.00e+01	-1.517543e-06
-4.90e+01	-1.516330e-06
-4.80e+01	-1.514540e-06
-4.70e+01	-1.512468e-06
-4.60e+01	-1.511552e-06
-4.50e+01	-1.510731e-06
-4.40e+01	-1.509369e-06
-4.30e+01	-1.507268e-06
-4.20e+01	-1.505937e-06
-4.10e+01	-1.504465e-06
-4.00e+01	-1.501973e-06
-3.90e+01	-1.500336e-06
-3.80e+01	-1.498700e-06
-3.70e+01	-1.497747e-06
-3.60e+01	-1.495445e-06
-3.50e+01	-1.493480e-06
-3.40e+01	-1.491639e-06
-3.30e+01	-1.490925e-06
-3.20e+01	-1.487823e-06
-3.10e+01	-1.486894e-06
-3.00e+01	-1.485687e-06
-2.90e+01	-1.484063e-06
-2.80e+01	-1.482700e-06
-2.70e+01	-1.481614e-06
-2.60e+01	-1.479187e-06
-2.50e+01	-1.476674e-06
-2.40e+01	-1.475252e-06
-2.30e+01	-1.475091e-06
-2.20e+01	-1.473884e-06
-2.10e+01	-1.471516e-06
-2.00e+01	-1.469009e-06
-1.90e+01	-1.467128e-06
-1.80e+01	-1.465474e-06
-1.70e+01	-1.463363e-06
-1.60e+01	-1.460743e-06
-1.50e+01	-1.458431e-06
-1.40e+01	-1.455257e-06
-1.30e+01	-1.451757e-06
-1.20e+01	-1.449509e-06
-1.10e+01	-1.446641e-06
-1.00e+01	-1.442900e-06
-9.00e+00	-1.438301e-06
-8.00e+00	-1.430384e-06
-7.00e+00	-1.426160e-06
-5.99e+00	-1.419440e-06
-4.99e+00	-1.411327e-06
-4.00e+00	-1.402590e-06
-3.00e+00	-1.394123e-06
-2.00e+00	-1.386514e-06
-9.94e-01	-1.377104e-06
5.38e-03	-1.363576e-06
1.00e+00	-1.345644e-06
2.00e+00	-1.321473e-06
3.00e+00	-1.278247e-06
4.00e+00	-1.163785e-06
5.00e+00	-8.509959e-07
6.00e+00	-4.392106e-07
7.00e+00	-1.769063e-07
8.00e+00	-1.338801e-07
9.00e+00	-1.111876e-07
1.00e+01	-9.339036e-08
1.10e+01	-7.756660e-08
1.20e+01	-6.328710e-08
1.30e+01	-5.048156e-08
1.40e+01	-3.947058e-08
1.50e+01	-3.014278e-08
1.60e+01	-2.227958e-08
1.70e+01	-1.545788e-08
1.80e+01	-9.435312e-09
1.90e+01	-4.257306e-09
2.00e+01	1.621950e-10
2.10e+01	3.917957e-09
2.20e+01	7.187212e-09
2.30e+01	9.960331e-09
2.40e+01	1.206293e-08
2.50e+01	1.364902e-08
2.60e+01	1.518334e-08
2.70e+01	1.611598e-08
2.80e+01	1.723949e-08
2.90e+01	1.805962e-08
3.00e+01	1.877154e-08
3.10e+01	1.954318e-08
3.20e+01	2.029612e-08
3.30e+01	2.088944e-08
3.40e+01	2.147923e-08
3.50e+01	2.206964e-08
3.60e+01	2.262410e-08
3.70e+01	2.322250e-08
3.80e+01	2.371851e-08
3.90e+01	2.421729e-08
4.00e+01	2.472241e-08
