# ---
# 24/02/2026, 14:36:43
# volt	current
# ---
-1.20e+02	-1.638276e-06
-1.19e+02	-1.558294e-06
-1.18e+02	-1.562498e-06
-1.17e+02	-1.565937e-06
-1.16e+02	-1.567627e-06
-1.15e+02	-1.569422e-06
-1.14e+02	-1.570206e-06
-1.13e+02	-1.571354e-06
-1.12e+02	-1.571810e-06
-1.11e+02	-1.571751e-06
-1.10e+02	-1.572222e-06
-1.09e+02	-1.572110e-06
-1.08e+02	-1.571971e-06
-1.07e+02	-1.571710e-06
-1.06e+02	-1.571066e-06
-1.05e+02	-1.570697e-06
-1.04e+02	-1.570076e-06
-1.03e+02	-1.569876e-06
-1.02e+02	-1.570268e-06
-1.01e+02	-1.569547e-06
-1.00e+02	-1.567300e-06
-9.90e+01	-1.566892e-06
-9.80e+01	-1.566322e-06
-9.70e+01	-1.565983e-06
-9.60e+01	-1.564771e-06
-9.50e+01	-1.564944e-06
-9.40e+01	-1.564069e-06
-9.30e+01	-1.561636e-06
-9.20e+01	-1.561926e-06
-9.10e+01	-1.560123e-06
-9.00e+01	-1.559447e-06
-8.90e+01	-1.558315e-06
-8.80e+01	-1.557856e-06
-8.70e+01	-1.556422e-06
-8.60e+01	-1.555484e-06
-8.50e+01	-1.554715e-06
-8.40e+01	-1.553934e-06
-8.30e+01	-1.550821e-06
-8.20e+01	-1.552206e-06
-8.10e+01	-1.550862e-06
-8.00e+01	-1.550694e-06
-7.90e+01	-1.549262e-06
-7.80e+01	-1.547903e-06
-7.70e+01	-1.547047e-06
-7.60e+01	-1.545959e-06
-7.50e+01	-1.544963e-06
-7.40e+01	-1.544857e-06
-7.30e+01	-1.543029e-06
-7.20e+01	-1.541118e-06
-7.10e+01	-1.540231e-06
-7.00e+01	-1.540025e-06
-6.90e+01	-1.539274e-06
-6.80e+01	-1.537356e-06
-6.70e+01	-1.536618e-06
-6.60e+01	-1.536311e-06
-6.50e+01	-1.534004e-06
-6.40e+01	-1.531928e-06
-6.30e+01	-1.531370e-06
-6.20e+01	-1.531736e-06
-6.10e+01	-1.529677e-06
-6.00e+01	-1.527752e-06
-5.90e+01	-1.527142e-06
-5.80e+01	-1.525782e-06
-5.70e+01	-1.523576e-06
-5.60e+01	-1.523191e-06
-5.50e+01	-1.521240e-06
-5.40e+01	-1.519962e-06
-5.30e+01	-1.519453e-06
-5.20e+01	-1.518237e-06
-5.10e+01	-1.516274e-06
-5.00e+01	-1.515398e-06
-4.90e+01	-1.513298e-06
-4.80e+01	-1.511864e-06
-4.70e+01	-1.510679e-06
-4.60e+01	-1.509615e-06
-4.50e+01	-1.507839e-06
-4.40e+01	-1.506033e-06
-4.30e+01	-1.504846e-06
-4.20e+01	-1.502616e-06
-4.10e+01	-1.500763e-06
-4.00e+01	-1.499936e-06
-3.90e+01	-1.499349e-06
-3.80e+01	-1.497710e-06
-3.70e+01	-1.494909e-06
-3.60e+01	-1.493755e-06
-3.50e+01	-1.491822e-06
-3.40e+01	-1.489598e-06
-3.30e+01	-1.488240e-06
-3.20e+01	-1.487180e-06
-3.10e+01	-1.485223e-06
-3.00e+01	-1.483480e-06
-2.90e+01	-1.481631e-06
-2.80e+01	-1.479874e-06
-2.70e+01	-1.478256e-06
-2.60e+01	-1.476847e-06
-2.50e+01	-1.475110e-06
-2.40e+01	-1.473382e-06
-2.30e+01	-1.471579e-06
-2.20e+01	-1.469814e-06
-2.10e+01	-1.468424e-06
-2.00e+01	-1.466491e-06
-1.90e+01	-1.464601e-06
-1.80e+01	-1.462656e-06
-1.70e+01	-1.459940e-06
-1.60e+01	-1.457666e-06
-1.50e+01	-1.455637e-06
-1.40e+01	-1.453952e-06
-1.30e+01	-1.450668e-06
-1.20e+01	-1.446890e-06
-1.10e+01	-1.443497e-06
-1.00e+01	-1.439946e-06
-9.00e+00	-1.434814e-06
-8.00e+00	-1.428851e-06
-7.00e+00	-1.423362e-06
-5.99e+00	-1.416003e-06
-4.99e+00	-1.408291e-06
-4.00e+00	-1.399738e-06
-3.00e+00	-1.391967e-06
-2.00e+00	-1.383470e-06
-9.94e-01	-1.374199e-06
5.48e-03	-1.361699e-06
1.00e+00	-1.343127e-06
2.00e+00	-1.318405e-06
3.00e+00	-1.276908e-06
4.00e+00	-1.162978e-06
5.00e+00	-8.546732e-07
6.00e+00	-4.440603e-07
7.00e+00	-1.785126e-07
8.00e+00	-1.346056e-07
9.00e+00	-1.118197e-07
1.00e+01	-9.407785e-08
1.10e+01	-7.821473e-08
1.20e+01	-6.378471e-08
1.30e+01	-5.101565e-08
1.40e+01	-4.000101e-08
1.50e+01	-3.057006e-08
1.60e+01	-2.262282e-08
1.70e+01	-1.574328e-08
1.80e+01	-9.756403e-09
1.90e+01	-4.517016e-09
2.00e+01	-7.017512e-11
2.10e+01	3.764812e-09
2.20e+01	6.998758e-09
2.30e+01	9.724423e-09
2.40e+01	1.194864e-08
2.50e+01	1.366648e-08
2.60e+01	1.498590e-08
2.70e+01	1.608788e-08
2.80e+01	1.704560e-08
2.90e+01	1.790648e-08
3.00e+01	1.869686e-08
3.10e+01	1.941270e-08
3.20e+01	2.010031e-08
3.30e+01	2.075819e-08
3.40e+01	2.136670e-08
3.50e+01	2.198066e-08
3.60e+01	2.254311e-08
3.70e+01	2.308302e-08
3.80e+01	2.363117e-08
3.90e+01	2.412173e-08
4.00e+01	2.460963e-08
