# ---
# 25/02/2026, 11:12:16
# volt	current
# ---
-1.20e+02	-5.046684e-07
-1.19e+02	-4.400343e-07
-1.18e+02	-4.403725e-07
-1.17e+02	-4.407903e-07
-1.16e+02	-4.407891e-07
-1.15e+02	-4.405475e-07
-1.14e+02	-4.405819e-07
-1.13e+02	-4.403713e-07
-1.12e+02	-4.401299e-07
-1.11e+02	-4.404475e-07
-1.10e+02	-4.400207e-07
-1.09e+02	-4.394928e-07
-1.08e+02	-4.396890e-07
-1.07e+02	-4.397626e-07
-1.06e+02	-4.391609e-07
-1.05e+02	-4.388983e-07
-1.04e+02	-4.388156e-07
-1.03e+02	-4.388697e-07
-1.02e+02	-4.381317e-07
-1.01e+02	-4.379115e-07
-1.00e+02	-4.382661e-07
-9.90e+01	-4.377465e-07
-9.80e+01	-4.371967e-07
-9.70e+01	-4.381259e-07
-9.60e+01	-4.379029e-07
-9.50e+01	-4.375147e-07
-9.40e+01	-4.384578e-07
-9.30e+01	-4.382170e-07
-9.20e+01	-4.375812e-07
-9.10e+01	-4.378248e-07
-9.00e+01	-4.390056e-07
-8.90e+01	-4.388114e-07
-8.80e+01	-4.384580e-07
-8.70e+01	-4.380515e-07
-8.60e+01	-4.378217e-07
-8.50e+01	-4.376517e-07
-8.40e+01	-4.374687e-07
-8.30e+01	-4.370997e-07
-8.20e+01	-4.369725e-07
-8.10e+01	-4.364641e-07
-8.00e+01	-4.363816e-07
-7.90e+01	-4.363234e-07
-7.80e+01	-4.354613e-07
-7.70e+01	-4.355567e-07
-7.60e+01	-4.352297e-07
-7.50e+01	-4.349998e-07
-7.40e+01	-4.344598e-07
-7.30e+01	-4.343632e-07
-7.20e+01	-4.342308e-07
-7.10e+01	-4.336082e-07
-7.00e+01	-4.330030e-07
-6.90e+01	-4.330605e-07
-6.80e+01	-4.328970e-07
-6.70e+01	-4.326265e-07
-6.60e+01	-4.322823e-07
-6.50e+01	-4.318501e-07
-6.40e+01	-4.317065e-07
-6.30e+01	-4.315937e-07
-6.20e+01	-4.304799e-07
-6.10e+01	-4.305165e-07
-6.00e+01	-4.305487e-07
-5.90e+01	-4.303868e-07
-5.80e+01	-4.298952e-07
-5.70e+01	-4.301348e-07
-5.60e+01	-4.297905e-07
-5.50e+01	-4.291502e-07
-5.40e+01	-4.290146e-07
-5.30e+01	-4.283920e-07
-5.20e+01	-4.282321e-07
-5.10e+01	-4.279220e-07
-5.00e+01	-4.273826e-07
-4.90e+01	-4.270189e-07
-4.80e+01	-4.265872e-07
-4.70e+01	-4.260540e-07
-4.60e+01	-4.258638e-07
-4.50e+01	-4.256335e-07
-4.40e+01	-4.256980e-07
-4.30e+01	-4.253823e-07
-4.20e+01	-4.249897e-07
-4.10e+01	-4.244488e-07
-4.00e+01	-4.239412e-07
-3.90e+01	-4.238454e-07
-3.80e+01	-4.232511e-07
-3.70e+01	-4.227283e-07
-3.60e+01	-4.221650e-07
-3.50e+01	-4.219613e-07
-3.40e+01	-4.212303e-07
-3.30e+01	-4.210274e-07
-3.20e+01	-4.205368e-07
-3.10e+01	-4.197510e-07
-3.00e+01	-4.192737e-07
-2.90e+01	-4.190565e-07
-2.80e+01	-4.182738e-07
-2.70e+01	-4.178821e-07
-2.60e+01	-4.172690e-07
-2.50e+01	-4.167107e-07
-2.40e+01	-4.160092e-07
-2.30e+01	-4.159058e-07
-2.20e+01	-4.155467e-07
-2.10e+01	-4.147972e-07
-2.00e+01	-4.142886e-07
-1.90e+01	-4.136756e-07
-1.80e+01	-4.129637e-07
-1.70e+01	-4.122463e-07
-1.60e+01	-4.119327e-07
-1.50e+01	-4.113044e-07
-1.40e+01	-4.103092e-07
-1.30e+01	-4.095385e-07
-1.20e+01	-4.091479e-07
-1.10e+01	-4.081795e-07
-1.00e+01	-4.072591e-07
-9.00e+00	-4.063830e-07
-8.00e+00	-4.054318e-07
-7.00e+00	-4.040152e-07
-6.00e+00	-4.021533e-07
-5.00e+00	-4.008521e-07
-4.00e+00	-3.987735e-07
-3.00e+00	-3.960203e-07
-2.00e+00	-3.936815e-07
-9.95e-01	-3.906401e-07
4.11e-03	-3.861860e-07
1.00e+00	-3.767684e-07
2.00e+00	-3.578058e-07
3.00e+00	-3.136547e-07
4.00e+00	-1.941473e-07
5.00e+00	-1.064096e-07
6.00e+00	-8.997913e-08
7.00e+00	-7.863340e-08
8.00e+00	-6.829521e-08
9.00e+00	-5.773083e-08
1.00e+01	-4.668286e-08
1.10e+01	-3.553478e-08
1.20e+01	-2.506824e-08
1.30e+01	-1.635679e-08
1.40e+01	-9.917549e-09
1.50e+01	-5.377163e-09
1.60e+01	-2.037370e-09
1.70e+01	4.624046e-10
1.80e+01	2.148485e-09
1.90e+01	2.983803e-09
2.00e+01	3.327550e-09
2.10e+01	3.550805e-09
2.20e+01	3.740270e-09
2.30e+01	3.938599e-09
2.40e+01	4.146287e-09
2.50e+01	4.346386e-09
2.60e+01	4.558633e-09
2.70e+01	4.748225e-09
2.80e+01	4.952243e-09
2.90e+01	5.163225e-09
3.00e+01	5.373573e-09
3.10e+01	5.586582e-09
3.20e+01	5.769212e-09
3.30e+01	5.968169e-09
3.40e+01	6.164848e-09
3.50e+01	6.341656e-09
3.60e+01	6.526566e-09
3.70e+01	6.714891e-09
3.80e+01	6.874742e-09
3.90e+01	7.030920e-09
4.00e+01	7.187480e-09
